ID,nom,fonction,annees,statut,parent,public,similaire-a,wikidata,comptoir-du-libre,licence,secteur,composant,contexte-usage,groupe,version
155,Visual Studio Code,Environnement de développement,2018 ; 2019 ; 2020,R,,,,Q19841877,171,MIT,Conception & Développement,Environnement de développement intégré (IDE),Outil et/ou plugin de génération de tout ou partie du code,MIMDEV,Dernière
156,VLC,Lecteur multimédia,2018 ; 2019 ; 2020,R,,,,Q171477,62,GPL-2.0-only,Espace utilisateur et canal,Consultation et édition de documents,La version 3.0.7.1 est utilisée à la Gendarmerie nationale,MIMO,3.0.8
157,VRT network equipment,Galerie d’images,2019 ; 2020,R,LibreOffice,,,,289,CC-BY-SA-4.0,Espace utilisateur et canal,Consultation et édition de documents,Diagrammes informatiques,MIMO,1.2
158,WAPT,"Déploiement, mise à jour et suppression des logiciels et des configurations sur un parc Windows",2019 ; 2020,O,,,,Q50829216,261,GPL-3.0-only,Opérations,Déploiement gestion d’actif et de configuration,Gestion de parc,MIMO,1.6 Community
159,WebAccess,Outil de dev pour l’accessibilité,2019 ; 2020,O,NVDA,,,,,GPL-2.0-only,Conception et développement,Qualité et sécurité de code source,,MIMO,2019.12.13
160,WebService,Serveur de services web permettant à une application externe d'interroger et de piloter GLPI.,2018 ; 2019 ; 2020,O,GLPI,,,,295,GPL-2.0-or-later,Opérations,Déploiement gestion d’actif et de configuration,,MIMO,1.9.1
161,Wekan,Gestion de tâches,2019 ; 2020,O,,,,Q50558592,260,,Espace utilisateur et canal,Outil de productivité,,MIMO,
162,Wordpress,Blogue,2019 ; 2020,R,,,,Q13166,38,GPL-2.0-only,Données et contenu,Gestion de contenu web,Version 5.3.2 utilisée sur etalab.gouv.fr,MIMO,
163,Yarn,Outil de gestion des dépendances,2018 ; 2019 ; 2020,O,,,,Q28975591,177,BSD-2-Clause,Conception & Développement,"Installation, Packaging, Diffusion et Distribution",,MIMDEV,1.21.0
164,Rudder,Audit et configuration continus,2018 ; 2020,R,,,,Q16673801,227,GPL-3.0-or-later,Opérations,Déploiement gestion d’actif et de configuration,En 5.0 chez le référent,MIMPROD,Distribution
165,SonarQube Plugins : CheckStyle,Tableau de bord d'indicateurs de qualité,2018 ; 2019 ; 2020,R,SonarQube,,,,308,,Conception & Développement,Qualité et sécurité du code source,,MIMDEV,6.7 (à confirmer)
166,SonarQube Plugins : Pmd,Tableau de bord d'indicateurs de qualité,2018 ; 2019 ; 2020,R,SonarQube,,,,309,LGPL-3.0-only,Conception & Développement,Qualité et sécurité du code source,,MIMDEV,6.7 (à confirmer)
167,Squash TF Java Junit Runner,Automatisation des tests,2020,R,Squash TF,,,,189,LGPL-3.0-only,Conception & Développement,Test & Intégration,,MIMDEV,1.21.0
168,Squash TF Cucumber Java Runner,Automatisation des tests,2020,R,Squash TF,,,,189,LGPL-3.0-only,Conception & Développement,Test & Intégration,,MIMDEV,1.21.0
169,Squash TF Execution Server,Automatisation des tests,2020,R,Squash TF,,,,189,LGPL-3.0-only,Conception & Développement,Test & Intégration,,MIMDEV,1.21.0
170,Squash KeywordFramework,Automatisation des tests,2020,R,Squash TF,,,,189,LGPL-3.0-only,Conception & Développement,Test & Intégration,,MIMDEV,1.21.0
171,SOGo,Outil de webmail,2020,R,,,68,Q1523357,139,GPL-3.0-only,Espace utilisateur et canal,Messagerie agenda contacts,,MIMO,
172,Zammad,Application web pour la gestion du support,2020,O,,,54,Q71389626,355,AGPL-3.0,Espace utilisateur et canal,Outil de productivité,En version 3.1 à la DINUM (Etalab),MIMO,
173,Jekyll,Outil de génération de sites statiques,2020,R,,,36,Q17067385,356,MIT,Données et contenu,Gestion de contenu web,En version 3.1.2 à la DINUM (Etalab),MIMO,
174,GNU Emacs,Éditeur de textes,2020,R,,,97,Q189722,,GPL-3.0-or-later,Espace utilisateur et canal,Consultation et édition de documents,En version 26.3 à la DINUM (Etalab),MIMO,
175,Cachet,Outil de monitoring de service,2020,O,,,,,357,BSD-3-Clause,Conception & Développement,Test & Intégration,En version 2.3.18 à la DINUM (Etalab),MIMO,
176,Matomo,Outil de statistiques de fréquentation de sites web,2020,R,,,,Q34162,358,GPL-3.0-or-later,Opérations,Supervision / Hypervision,En version 3.12 à la DINUM (Etalab),MIMPROD,
177,postfix.admin,Outil de gestion de configuration postfix,2020,R,,,,,359,GPL-2.0-or-later,Opérations,Supervision / Hypervision,En version 3.2 à la DINUM (Etalab),MIMPROD,
178,Proxmox VE,Outil de gestion de machines virtuelles,2020,R,,,,Q344376,113,AGPL-3.0,Opérations,Outils système & virtualisation,En version 5.4-13 à la DINUM (Etalab),MIMPROD,
179,Yunohost,Outil de déploiement d'applications,2020,O,,,,Q15971793,361,AGPL-3.0,Opérations,Outils système & virtualisation,En version 3.6.5.3 à la DINUM (Etalab),MIMPROD,
180,CodiMD,Outil de partage de notes,2020,O,,,,,362,AGPL-3.0,Orchestration et logique métier,Outil collaboratif,En version 1.4.1 à la DINUM,MIMO,
181,git-crypt,Outil de chiffrement dans les dépôts Git,2020,R,,,,,363,GPL-3.0,Conception & développement,Qualité et sécurité du code source,,MIMDEV,Version distribution
182,RStudio,Environnement de développement intégré (IDE) pour le langage de programmation R.,2020,R,,,,Q4798119,366,AGPL-3.0,Espace utilisateur et canal,Consultation et édition de documents,En version 1.2 à l'ANCT,MIMDEV,
183,Remediate The Flag,Outil d'entraînement à la sécurité d'applications,2020,R,,,,,367,Apache-2.0,Conception & développement,Qualité et sécurité du code source,,MIMDEV,
184,Redis,Système de gestion de base de données,2020,R,,,,Q2136322,365,BSD-3-Clause,Données et contenu,Gestionnaire de données non relationnelles,En version 5.0.7 à Sorbonne université,MIMPROD,
185,Archifiltre,Système d'aide à l'archivage de fichiers,2020,R,,Oui,194,Q77064547,368,MIT,Espace utilisateur et canal,Outil de productivité,En version 2.0.x aux ministères sociaux,MIMO,2.0.x
186,Dia,Outil de création de diagrammes,2018,FR,,,,Q958908,66,GPL-2.0,Espace utilisateur et canal,Outil de productivité,,MIMO,
187,Prometheus,Supervision Infrastructure et composants,2020,O,,,,,374,Apache-2.0,Opérations,Supervision / Hypervision,,MIMPROD,2.5
188,Grafana,Supervision Infrastructure et composants,2020,O,,,,Q43399271,373,Apache-2.0,Opérations,Supervision / Hypervision,,MIMPROD,6.x
189,OpenIO,Stockage objet,2019 ; 2020,R,,,,Q30348631,376,AGPL-3,Stockage,Sauvegarde Serveur,,MIMPROD,19.10
190,Correcteur terminologique fr (FranceTerme),Correction terminologique à partir de la base FranceTerme,2018 ; 2019 ; 2020,R,LibreOffice,,,,,LGPL-2.1,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,1.7
191,Pulse,Télédéploiement et télédiffusion des composants techniques et métiers sur les postes de travail Windows/Linux/Mac,2020,O,GLPI,,,,377,GPL-2.0,Opérations,Déploiement gestion d’actif et de configuration,,MIMO,4
192,ProjeQtOr,Module Kanban,2020,O,,,,Q17501773,375,AGPL-3,Espace utilisateur et canal,Outil de productivité,,MIMO,8.3
193,OpenShot,Logiciel d'édition de vidéos,2020,R,,,15,Q769346,379,GPL-3,Espace utilisateur et canal,Outil de productivité,[Site de l'académie de Rouen](http://numeriques.spip.ac-rouen.fr/?Openshot),MIMO,2.4.3
194,VITAM,Solution d'archivage électronique,2020,R,,Oui,185,,323,CECILL-2.1,Espace utilisateur et canal,Outil de productivité,[www.programmevitam.fr](https://www.programmevitam.fr),MIMO,2.1.18
