ID,nom,fonction,annees,statut,parent,public,similaire-a,wikidata,comptoir-du-libre,licence,secteur,composant,contexte-usage,groupe,version
34,Docker,Conteneurs logiciels,2018 ; 2019 ; 2020,R,,,,Q15206305,218,,Opérations,Outils système & virtualisation,Services déconcentrés,MIMPROD,Distribution
35,Draw.io Desktop,Schémas,2019 ; 2020,O,,,,Q59339175,300,Apache-2.0,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,12.5
36,Drupal,Gestion de contenu web,2019 ; 2020,R,,,173,Q170855,264,,Données et contenu,Gestion de contenu web,,MIMO,8.8
37,DVD Styler,Création de DVD vidéo avec un menu de navigation.,2018 ; 2019 ; 2020,O,,,,Q4117800,74,GPL-3.0,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,3.1
38,Eclipse,Environnement de développement,2018 ; 2019 ; 2020,R,,,,Q82268,170,EPL-2.0,Conception & Développement,Environnement de développement intégré (IDE),Outil et/ou plugin de génération de tout ou partie du code,MIMDEV,4.14
39,Elasticsearch,Indexation et recherche plein texte,2018 ; 2019 ; 2020,R,,,,Q3050461,201,,Données et contenu,Moteur de recherche,En mode cluster,MIMPROD,6.x
40,EOLE AMON,Pare-feu réseau et web,2018 ; 2019 ; 2020,R,,,,,234,,Réseau,Pare-feu – Réseau,Services déconcentrés,MIMPROD,2.7
41,EOLE (Ubuntu),Distribution GNU/LINUX,2018 ; 2019 ; 2020,R,,,,Q3046024,240,,Logiciel Système et Virtualisation,Système d'Exploitation,Services déconcentrés,MIMPROD,2.7
42,Escalation,Escalade de tickets,2018 ; 2019 ; 2020,O,GLPI,,,,296,GPL-2.0-only,Opérations,Déploiement gestion d’actif et de configuration,Gestion des tickets,MIMO,0.90+1.2
43,Filezilla,Client FTP,2018 ; 2019 ; 2020,R,,,,Q300662,64,GPL-2.0,Données et contenu,Gestion des accès aux données,Client FTP,MIMO,3.28
44,Fitnesse,Outil d'injection afin tester les couches basses,2018 ; 2019 ; 2020,FR,,,,,184,,Conception & Développement,Test & Intégration,,MIMDEV,20161106
45,Framadate (logiciel),Sondage pour trouver des dates communes,2019 ; 2020,O,,,,,284,,Espace utilisateur et canal,Messagerie agenda contacts,Utilisation expérimentale sur yunohost.etalab.studio/date/,MIMO,
46,Nagios,Application permettant la surveillance système et réseau,2018,FR,,,,Q1134360,209,GPL-3.0,Opérations,Outils système & virtualisation,,MIMDEV,
47,FreeFileSync,Synchronisation Sauvegarde,2018 ; 2019 ; 2020,R,,,,Q18150468,52,GPL-3.0,Opérations,Synchronisation réplication déduplication,,MIMO,10.20
48,Freeplane,Grapheur d'idées,2018 ; 2019 ; 2020,R,,,,Q3028675,61,GPL-2.0-only,Espace utilisateur et canal,Outil de productivité,,MIMO,1.7
49,FusionInventory,"Inventaire, télédéploiement et découverte du réseau",2018 ; 2019 ; 2020,O,GLPI,,,,84,AGPL-3.0-or-later,Opérations,Déploiement gestion d’actif et de configuration,Gestion parc,MIMO,9.1+1.4
50,Waarp,Gestion des transferts de fichiers dans un contexte de production et sécurisé,2018,FR,,,,,231,GPL-3.0,Conception & Développement,Partage de fichiers,,MIMPROD,
51,Gimp,Dessin (matriciel),2018 ; 2019 ; 2020,R,,,,Q8038,67,GPL-3.0-only,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,2.10.14
52,Git,Outil de gestion des configurations (serveur),2018 ; 2019 ; 2020,R,,,,Q186055,175,GPL-2.0,Conception & Développement,Gestion du code source,,MIMDEV,Dernière
53,GitLab Community Edition,Plateforme de développement,2018 ; 2019 ; 2020,R,,,,Q16639197,198,,Orchestration & logique métier,Outil collaboratif,,MIMDEV,11.X
